Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
what does the bible say about abortion,Informational,8100,"0.34,0.34,0.34,0.24,0.45,0.45,0.34,0.34,0.55,0.55,0.69,1.00",19,0.05,0.18,11400000
what does the bible say about masturbation,Informational,8100,"1.00,0.29,0.44,0.29,0.36,0.36,0.29,0.36,0.29,0.29,0.29,0.24",22,0.00,0.00,2540000
what does the bible say about masterbation,Informational,6600,"0.81,0.44,0.30,1.00,0.44,0.36,0.81,0.67,0.30,0.23,0.67,0.36",25,0.01,0.07,631000
where in the bible does it say,Informational,5400,"0.54,0.81,0.81,0.44,0.81,0.67,0.54,0.44,0.81,1.00,0.67,0.81",30,0.00,0.00,316000000
what does it say about suicide in the bible,Informational,3600,"0.54,0.00,1.00,0.01,0.01,0.01,0.15,0.10,0.15,0.19,0.81,0.29",19,0.00,0.00,19800000
what does the bible say about judging others,Informational,3600,"0.80,0.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",28,0.28,0.03,6760000
what does the bible say about masturbating,Informational,3600,"0.35,1.00,0.09,0.07,1.00,0.09,0.07,1.00,0.06,0.06,0.06,0.19",20,0.01,0.07,2910000
what does the bible say about putting children before money,Informational,3600,1.00,19,0.00,0.00,36900000
what does the bible say about putting children first,Informational,3600,1.00,7,0.00,0.00,70800000
what does the christian bible say about suicide,Informational,3600,"0.54,1.00,1.00,0.01,0.01,0.00,0.15,0.10,0.15,0.19,0.15,0.29",27,0.00,0.00,9270000
what does the bible say about suicidal,Informational,2900,"0.00,0.00,1.00,0.01,0.01,0.01,0.15,0.10,0.15,0.81,0.15,0.29",27,0.00,0.00,2640000
what does the bible say about sex before marriage,Informational,2400,"0.83,0.83,1.00,0.66,0.83,1.00,0.83,0.54,0.83,0.83,0.66,1.00",16,0.67,0.05,23200000
what the bible says about marriage,Informational,2400,"0.80,0.80,0.80,0.80,0.80,0.27,1.00,0.66,0.80,0.66,0.66,0.66",30,0.55,0.12,94700000
what did the bible say about suicide,Informational,1900,"1.00,0.01,0.03,0.05,0.04,0.02,0.28,0.19,0.28,0.36,0.28,0.54",21,0.00,0.00,17700000
what does the bible say about cheating,Informational,1900,"0.66,1.00,0.66,0.79,0.66,1.00,0.66,0.66,0.79,0.66,0.79,0.66",23,0.41,0.01,12700000
what does the bible say about masterburation,Informational,1900,"0.24,1.00,0.24,0.29,0.29,0.18,0.18,0.10,1.00,0.18,0.16,0.13",25,0.01,0.07,7400000
what does the bible say about tattoos in revelations,Informational,1900,"0.54,0.54,0.79,0.79,0.79,1.00,1.00,1.00,0.79,0.79,0.79,0.66",31,0.32,0.01,797000
what does the bible say about touching yourself,Informational,1900,"1.00,0.66,0.83,0.66,0.83,0.83,0.66,0.66,0.66,0.66,0.54,0.66",20,0.00,0.02,30000000
what does the bible say about weed,Informational,1900,"0.65,0.65,0.82,1.00,0.82,0.82,0.55,0.55,0.55,0.82,0.65,0.65",23,0.01,0.03,7200000
what the bible says about masterbation,Informational,1900,"0.01,0.01,0.01,0.01,0.04,0.07,0.15,1.00,0.15,0.36,0.15,0.00",19,0.01,0.07,592000
a verse from the bible saying that god is real,Informational,1600,1.00,29,0.00,0.00,154000000
bible say to kill pagans,Informational,1600,1.00,15,0.00,0.00,385000
bible verse htat says to go to school,Commercial,1600,1.00,8,0.00,0.00,314000000
bible verse saying what you think about will consume you,Informational,1600,1.00,24,0.00,0.00,46600000
bible verse saying your tongue power,Commercial,1600,1.00,31,0.00,0.00,11000000
catholic bible sayings,Informational,1600,"0.79,0.01,1.00,0.66,0.79,0.66,0.54,0.66,0.54,1.00,0.20,0.41",26,1.75,0.05,3860000
does the bible say all things of forgotten,Informational,1600,"1.00,0.00",23,0.00,0.00,78100000
does the bible say men and women are evil,Informational,1600,1.00,16,0.00,0.00,55500000
does the bible say not to eat pork,Informational,1600,"0.44,0.55,0.44,0.65,0.65,1.00,0.55,0.55,0.30,0.44,0.82,0.55",23,0.00,0.00,3890000
god say my sleep here bible verse,Informational,1600,1.00,31,0.00,0.00,18700000
what does god say about suicide in the bible,Informational,1600,"1.00,0.01,0.04,0.03,0.02,0.01,0.28,0.19,0.28,0.01,0.08,0.54",15,0.00,0.00,13000000
what does the bible say about astrology,Informational,1600,"0.54,0.66,0.79,0.66,0.79,1.00,0.66,0.66,0.66,0.66,0.66,0.66",27,0.64,0.01,9610000
what does the bible say about eating pork,Informational,1600,"0.44,0.44,0.55,0.55,0.55,1.00,0.44,0.55,0.44,0.44,0.55,0.55",29,0.00,0.00,5350000
what does the bible say about ghosts,Informational,1600,"0.79,0.54,0.54,0.67,0.37,0.79,1.00,0.79,0.67,0.67,0.54,1.00",17,0.01,0.12,7270000
what does the bible say about israel and gaza,Informational,1600,"1.00,0.34,0.17,0.17,0.34,1.00,0.66,0.28,0.34,0.66,0.55,1.00",22,0.00,0.00,5860000
what does the bible say about mediums,Informational,1600,"0.41,0.41,0.66,0.79,1.00,0.79,0.66,0.54,0.66,0.54,1.00,0.66",29,0.01,0.06,2720000
what does the bible say about premarital sex,Informational,1600,"0.54,0.54,0.66,0.66,0.66,1.00,0.54,0.41,0.54,0.54,0.54,0.54",28,0.70,0.06,588000
what does the bible say about stayying awake all night,Informational,1600,1.00,30,0.00,0.00,122000000
what does the bible say about transgender,Informational,1600,"0.80,0.55,0.80,0.66,0.80,1.00,0.55,0.66,0.66,0.66,0.30,0.66",29,0.41,0.22,7420000
what does the bible say about trusting in riches,Informational,1600,1.00,23,0.00,0.00,4950000
what does the bible says about deny your own sentimiento,Informational,1600,1.00,20,0.00,0.00,55
what does the bible says about exalting,Informational,1600,1.00,17,0.00,0.00,10800000
what does the bible says about vanity,Informational,1600,1.00,31,0.00,0.00,7890000
what oes the bible say about homelessness,Informational,1600,1.00,26,0.00,0.00,2400000
what the bible say about living in denial,Informational,1600,1.00,21,0.00,0.00,9770000
what the bible says about anxiety,Informational,1600,"0.44,0.34,0.55,0.55,0.55,1.00,0.44,0.44,0.34,0.55,0.34,0.82",26,0.10,0.25,34900000
what the bible says about hell,Informational,1600,"0.44,0.36,1.00,0.66,0.80,0.52,0.27,0.24,0.27,0.36,0.27,0.20",29,0.29,0.06,45300000
where does it say that in the bible,"Informational, Transactional",1600,"0.00,0.00,1.00,0.36,1.00,0.54,0.36,0.43,0.54,0.54,0.00,0.00",18,0.00,0.00,247000000
where does the bible say you need relationship with god,Informational,1600,1.00,28,0.00,0.00,88100000
where does the bible say you need religion with god,Informational,1600,1.00,20,0.00,0.00,64600000
where in the bible does it say justus was titus,Informational,1600,1.00,21,0.00,0.00,100
who in the bible does it say fulfilled his purpose,Informational,1600,1.00,30,0.00,0.00,38600000
does the bible say anything about cremation,Informational,1300,"0.82,1.00,1.00,0.82,0.82,1.00,0.82,0.82,1.00,1.00,1.00,0.82",27,0.01,0.07,1540000
what does it say in the bible about cremation,Informational,1300,"0.29,0.53,1.00,0.18,0.10,0.16,0.10,0.24,0.16,0.10,0.08,0.13",27,0.01,0.08,2900000
what does it say in the bible about weed,Informational,1300,"1.00,1.00,0.03,0.68,1.00,0.84,0.68,0.68,0.68,0.68,0.25,0.37",27,0.01,0.03,7400000
what does the bible say about addiction,Informational,1300,"0.81,0.62,1.00,0.81,0.81,0.81,0.62,0.62,0.62,0.81,0.62,0.81",14,0.60,0.06,15600000
what does the bible say about cannabis,Informational,1300,"0.65,0.34,0.65,0.65,0.44,1.00,0.24,0.44,0.44,0.44,0.16,0.16",20,0.01,0.03,2950000
what does the bible say about dating,Informational,1300,"0.81,0.62,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,0.81",26,0.07,0.11,80200000
what does the bible say about dogs,Informational,1300,"0.62,0.81,1.00,0.81,1.00,1.00,0.81,0.62,1.00,1.00,0.81,0.81",26,0.03,0.01,28200000
what does the bible say about drugs,Informational,1300,"1.00,1.00,1.00,1.00,1.00,1.00,0.77,0.77,0.77,1.00,0.77,1.00",20,0.01,0.05,11700000
what does the bible say about eating meat,Informational,1300,"0.68,0.68,1.00,0.84,1.00,0.84,0.68,0.68,0.68,0.52,0.68,0.52",23,0.00,0.00,18100000
what does the bible say about hate,Informational,1300,"0.55,0.62,0.81,0.62,0.81,0.62,0.62,0.81,1.00,0.81,0.81,1.00",30,0.01,0.02,51000000
what does the bible say about marijuana,Informational,1300,"1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.81,0.62,0.55,0.81,0.62",22,0.00,0.00,3570000
what does the bible say about talking down to someone,Informational,1300,"1.00,0.00",27,0.00,0.00,146000000
what does the bible say suicide,Informational,1300,"0.01,0.02,0.03,0.05,0.07,0.03,0.52,0.36,0.80,0.66,0.52,1.00",27,0.00,0.00,11800000
what does the holy bible say about suicide,Informational,1300,"0.00,0.00,1.00,0.02,0.02,0.01,0.00,0.00,0.01,0.00,0.03,0.03",26,0.00,0.00,5970000
what the bible says about fasting,Informational,1300,"0.41,0.66,1.00,1.00,1.00,0.66,0.41,0.36,0.36,0.16,0.41,0.36",27,0.41,0.10,17000000
does it say in the bible not to eat pork,Informational,1000,"0.55,0.62,1.00,0.62,0.81,0.62,0.55,0.81,0.45,0.45,0.62,0.36",26,0.00,0.00,4720000
does the bible say a disobedientchild days are numbered,Informational,1000,"1.00,0.00,0.00",20,0.00,0.00,80
good bible verses priest say,Informational,1000,"1.00,0.00",16,0.00,0.00,21600000
how many times does the bible say fear not,Informational,1000,"0.55,0.55,1.00,0.62,0.81,0.81,0.55,0.55,0.62,0.55,0.81,0.81",29,1.73,0.00,77500000
how many times does the bible say not to fear,Informational,1000,"0.20,0.16,1.00,0.20,0.20,0.20,0.10,0.10,0.36,0.44,0.10,0.10",20,1.73,0.00,59700000
short bible sayings for tattoos,Informational,1000,"1.00,1.00,1.00,0.37,0.30,0.81,0.81,0.81,0.81,0.81,0.30,0.44",11,0.00,0.15,84
what does bible say about abortion,Informational,1000,"0.07,0.05,0.07,1.00,0.08,0.10,0.07,0.07,0.13,0.10,0.10,0.29",22,0.05,0.18,11000000
what does it say in the bible about mediums,Informational,1000,"0.67,0.76,1.00,0.76,1.00,0.76,0.76,0.67,0.67,0.76,0.45,0.55",31,0.01,0.06,2760000
what does the bible say about a woman preaching,Informational,1000,"0.25,0.08,1.00,0.16,0.31,0.84,0.68,1.00,0.68,0.84,0.25,0.37",31,0.36,0.06,14100000
what does the bible say about friends,Informational,1000,"0.67,1.00,1.00,1.00,0.76,0.76,0.44,0.67,0.56,0.67,0.67,0.76",28,0.02,0.16,113000000
what does the bible say about piercings,Informational,1000,"0.84,0.68,0.52,0.46,0.68,0.52,0.68,0.37,0.37,1.00,0.37,0.37",30,0.01,0.01,2200000
what does the bible say about smoking weed,Informational,1000,"1.00,0.75,1.00,1.00,1.00,0.75,0.54,0.54,0.75,0.75,0.54,0.67",23,0.00,0.00,1850000
what does the bible say about suicidal death,Informational,1000,"0.31,0.31,0.31,0.37,0.37,0.52,0.84,0.68,0.46,0.46,0.84,1.00",26,0.00,0.00,2620000
what does the bible say about talking down to someonde,Informational,1000,"1.00,0.00",28,0.00,0.00,176000000
what does the bible say about the eclipse,Informational,1000,"0.00,0.00,0.00,0.01,0.24,1.00,0.01,0.00,0.00,0.00,0.00,0.00",28,0.00,0.00,6130000
what does the bible say about the materialistic philosophy,Informational,1000,"1.00,0.00,0.00",9,0.00,0.00,13400000
what does the bible say about watching bad things,Informational,1000,"0.37,0.44,0.62,0.81,1.00,1.00,0.81,0.81,0.81,0.44,0.19,0.15",26,0.00,0.01,71800000
what the bible says about praying in tongues,Informational,1000,"1.00,1.00,1.00,0.24,0.62,1.00,0.81,0.81,0.81,0.81,0.30,0.45",18,0.30,0.05,2050000
where does it say in the bible,Informational,1000,"0.55,0.55,0.55,0.45,0.55,0.62,0.45,0.45,0.36,0.55,1.00,1.00",30,0.00,0.00,270000000
which bible verse says all men lie,Informational,1000,"1.00,0.00",18,0.00,0.00,10300000
what does it say in the bible about circumcision,Informational,880,"1.00,1.00,1.00,0.55,0.55,0.67,0.67,0.67,0.67,0.76,0.45,0.55",27,0.01,0.03,3470000
what does the bible say about anxiousness,Informational,880,"0.03,0.02,0.05,0.05,0.10,1.00,0.36,0.36,0.36,0.44,0.13,0.20",24,0.10,0.25,37600000
what does the bible say about complaining,Informational,880,"1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,1.00",22,0.00,0.00,6410000
what does the bible say about crystals,Informational,880,"0.88,0.88,1.00,0.88,1.00,1.00,0.88,0.72,0.88,0.88,0.72,0.88",27,0.03,0.01,2360000
what does the bible say about eating swine,Informational,880,"0.02,0.03,0.84,0.52,0.68,0.84,1.00,0.52,0.46,0.03,0.11,0.11",25,0.00,0.00,509000
what does the bible say about eclipse,Informational,880,"0.00,0.00,0.00,0.00,0.36,1.00,0.02,0.00,0.00,0.00,0.00,0.00",31,0.00,0.00,5720000
what does the bible say about fornication,Informational,880,"0.55,0.55,0.76,0.55,0.55,0.76,0.67,0.67,0.55,0.55,0.45,1.00",29,0.02,0.09,3190000
what does the bible say about karma,Informational,880,"0.88,0.88,1.00,1.00,1.00,0.72,0.88,0.88,0.88,0.88,0.88,1.00",23,0.01,0.02,11200000
what does the bible say about liars and manipulators,Informational,880,"0.55,0.55,0.67,0.67,1.00,0.76,0.76,0.67,0.76,0.55,0.55,0.55",13,0.33,0.01,96
what does the bible say about living together before marriage,Informational,880,"0.72,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.00",23,0.30,0.10,50700000
what does the bible say about manifestation,Informational,880,"0.68,0.77,1.00,0.77,0.68,0.68,0.68,0.56,0.68,0.68,0.56,0.68",17,0.29,0.01,17200000
what does the bible say about narcissism,Informational,880,"0.88,1.00,1.00,1.00,0.88,1.00,0.88,1.00,1.00,1.00,0.88,0.72",20,0.20,0.08,2120000
what does the bible say about oral sex,Informational,880,"0.04,0.08,0.07,0.84,0.68,0.46,0.46,0.68,1.00,0.52,0.31,0.37",18,0.27,0.03,7610000
what does the bible say about premarital intercourse,Informational,880,"0.03,0.81,1.00,0.20,0.24,0.62,0.55,0.55,0.55,0.62,0.36,0.45",27,0.70,0.06,155000
what does the bible say about self-satisfaction,Informational,880,"1.00,0.10,0.16,0.16,0.45,1.00,0.81,0.81,0.81,0.55,0.45,0.62",17,0.01,0.02,9730000
what does the bible say about sex for pleasure,Informational,880,"0.55,0.55,0.67,0.76,1.00,0.76,0.76,0.67,0.76,0.76,0.67,0.67",21,1.80,0.02,14400000
what does the bible say about watching p,Informational,880,"0.72,0.88,0.88,0.88,1.00,0.88,1.00,1.00,0.72,0.72,0.48,0.59",30,0.08,0.02,146000000
what does the bible say about wearing a cross necklace,Informational,880,"0.45,0.55,0.55,0.76,1.00,0.76,0.76,0.76,0.67,0.55,0.55,0.67",16,0.00,0.00,4770000
what the bible says about astrology,Informational,880,"0.55,0.55,1.00,0.76,1.00,1.00,0.30,0.55,0.36,0.55,0.36,0.45",29,0.64,0.01,10300000
what the bible says about cannabis,Informational,880,"0.02,0.13,1.00,0.05,0.07,0.66,0.54,0.54,0.54,0.54,0.20,0.30",20,0.01,0.03,1990000
what the bible says about forgiveness and letting go,Informational,880,"1.00,0.77,0.68,0.77,0.56,0.77,0.56,0.44,0.44,0.44,0.37,0.56",23,2.66,0.18,20900000
what the bible says about lust,Informational,880,"0.20,0.30,0.16,0.36,0.54,0.54,0.30,0.30,0.24,0.54,1.00,0.20",26,0.41,0.02,12000000
what the bible says about reincarnation,Informational,880,"0.13,0.24,0.62,0.81,1.00,0.62,0.55,0.55,0.36,0.45,0.81,0.24",24,1.84,0.01,3420000
what the bible says about speaking in tongues,Informational,880,"0.20,0.46,0.84,0.31,0.68,0.52,1.00,0.37,0.25,0.25,0.25,0.52",26,0.30,0.05,5460000
where does the bible say,Informational,880,"0.37,0.46,1.00,0.37,0.20,0.52,0.52,0.68,0.31,0.31,0.11,0.31",28,0.00,0.00,286000000
does the bible say baptism removes sin,Informational,720,"1.00,0.00,0.00",17,0.00,0.00,2120000
does the bible say do not eat pork,Informational,720,"0.06,0.04,1.00,0.20,0.10,1.00,0.55,0.55,0.55,0.62,0.36,0.45",24,0.00,0.00,2980000
does the bible say the world is flat,Informational,720,"0.55,1.00,0.55,0.45,0.36,0.76,0.45,0.55,0.45,0.30,0.45,0.45",29,0.01,0.05,12200000
how many times does the bible say do not fear,Informational,720,"0.55,0.55,1.00,0.55,0.67,1.00,0.45,0.45,0.67,0.55,0.67,0.36",24,1.73,0.00,64600000
what do the bible say about eating pork,Informational,720,"0.00,0.81,1.00,0.00,0.00,1.00,0.00,0.62,0.55,0.62,0.36,0.45",31,0.00,0.00,20700000
what does bible say about sex before marriage,Informational,720,"0.05,0.08,0.10,0.55,0.81,0.45,0.30,0.36,1.00,0.20,0.20,0.81",18,0.67,0.05,24200000
what does bible say about suicide,Informational,720,"1.00,0.80,0.18,0.18,0.11,0.16,0.30,0.11,0.11,0.09,0.09,0.36",26,0.00,0.00,21700000
what does it say in the bible about pork,Informational,720,"0.88,1.00,0.88,0.59,0.72,0.88,0.59,0.48,0.59,0.48,0.39,0.59",26,0.00,0.00,9850000
what does the bible say about animals,Informational,720,"0.36,0.76,0.55,0.55,1.00,0.55,0.45,0.45,0.45,0.45,0.67,0.55",28,0.00,0.01,42900000
what does the bible say about animals going to heaven,Informational,720,"0.67,0.67,0.81,0.81,0.81,1.00,0.81,0.67,0.81,0.67,0.81,0.81",31,0.02,0.05,24800000
what does the bible say about body piercing,Informational,720,"0.13,0.16,0.45,0.45,1.00,0.62,0.36,0.45,0.24,0.30,0.81,0.30",20,0.01,0.01,4550000
what does the bible say about fools,Informational,720,"0.67,0.67,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00",29,0.01,0.01,6480000
what does the bible say about forgiving others,Informational,720,"0.67,0.81,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00,1.00",31,0.69,0.13,5560000
what does the bible say about grief,Informational,720,"1.00,0.72,1.00,0.59,0.72,0.88,0.72,0.72,0.72,0.72,0.72,0.88",27,0.03,0.22,20700000
what does the bible say about hauntings,Informational,720,"0.06,0.06,0.13,0.76,1.00,1.00,1.00,1.00,0.76,0.05,0.16,0.67",29,0.01,0.12,175000
what does the bible say about hypocrites,Informational,720,"0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81,1.00,1.00,0.81,1.00",25,0.01,0.03,3560000
what does the bible say about intrusive thoughts,Informational,720,"0.08,0.08,0.11,0.08,1.00,0.82,0.16,0.08,0.11,0.08,0.08,0.08",16,0.82,0.02,1210000
what does the bible say about judging,Informational,720,"0.67,0.81,1.00,1.00,0.81,1.00,0.67,0.67,0.81,0.81,0.81,0.81",30,0.06,0.03,8110000
what does the bible say about murder,Informational,720,"0.67,0.81,1.00,0.81,1.00,1.00,0.81,0.67,1.00,0.81,0.81,0.81",25,0.00,0.00,0
what does the bible say about other religions,Informational,720,"0.81,0.81,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81",25,0.00,0.00,39200000
what does the bible say about politics,Informational,720,"0.20,0.20,0.30,0.36,0.36,0.30,0.24,0.10,1.00,1.00,0.81,1.00",28,0.41,0.06,48300000
what does the bible say about rest,Informational,720,"0.81,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",26,0.33,0.05,104000000
what does the bible say about sex in marriage,Informational,720,"0.54,0.67,0.81,1.00,0.81,1.00,1.00,0.67,1.00,1.00,0.81,0.81",14,0.65,0.06,24900000
what does the bible say about sex outside of marriage,Informational,720,"0.05,0.01,0.01,0.37,0.25,0.68,0.68,1.00,0.20,0.37,0.31,0.37",22,0.67,0.05,10300000
what does the bible say about stealing,Informational,720,"0.59,1.00,0.88,0.72,0.72,0.72,0.59,0.59,0.72,0.59,0.59,0.72",19,0.01,0.03,9410000
what does the bible say about voting,Informational,720,"0.03,0.01,0.03,0.03,0.05,0.03,0.03,0.05,0.13,0.22,0.29,1.00",22,0.00,0.00,5600000
what does the bible say about women pastors,Informational,720,"0.67,0.67,1.00,0.83,1.00,0.56,0.56,0.83,0.67,0.56,0.83,0.67",26,0.28,0.07,12200000
what does the bible say you need to smell good,Informational,720,"1.00,0.00,0.00",16,0.00,0.00,12600000
what the bible has to say,Informational,720,"0.03,0.03,0.03,0.10,0.08,1.00,0.81,1.00,0.81,0.81,0.30,0.45",30,3.32,0.01,267000000
what the bible says about eating meat,Informational,720,"0.45,0.62,0.81,0.55,1.00,0.30,0.30,0.36,0.24,0.30,0.24,0.16",20,0.00,0.00,15200000
what the bible says about liars,Informational,720,"0.72,0.59,1.00,0.72,0.72,0.72,0.48,0.72,0.72,0.48,0.72,0.48",30,0.24,0.02,4270000
what the bible says about peace,Informational,720,"0.88,1.00,0.88,0.59,0.59,1.00,0.47,0.59,0.59,0.72,0.72,0.72",23,0.75,0.09,122000000
what the bible says about porn,Informational,720,"0.08,0.19,0.44,0.55,0.81,0.37,0.30,0.37,1.00,0.19,0.19,0.81",29,0.02,0.08,6750000
when does the bible say life begins,Informational,720,"0.31,0.25,0.25,1.00,0.63,0.50,0.31,0.44,0.31,0.31,0.50,1.00",18,1.53,0.02,38900000
